	dér		'dE4	// e.pi.dér.mi.co

	des		des
	des	_	dZIs
	des	^S	dez

	dés		'dEs	// mo.dés.tia

	dês		'des

	deu		deU

	déu		'dEU	// de.déu

	deus		deUs

	dex		des	// dex.tro.gi.ro

	dez	_	'des
_	dez	_	'dEs

	di		dZi
	di	_	'dZi

	dí		'dZi

%	dia	_	dZi6	// co.mé.dia

	dic		dik	// dic.ção

	dif		dif	// dif.te.ri.a

	dig		dig	// in.dig.nar

	díg		'dig	// in.díg.no

	dil	_	'dZiw	// ar.dil

	dim		dZi~

	din		dZi~

	dir		dZi4
	dir	_	'dZi4

	dis		dZis
	dis	_	'dZis
	dis	^S	dZiz

	dís		'dZis

	dio		dZio	// ra.dio.a.ma.dor, ra.dio.a.ti.vi.da.de
%	dio	_	dZiU	// as.sé.dio

	dip		dip	// dip.so.ma.ni.a
	dip	_	'dip

	díp		'dip	// díp.te.ro

	diu	_	'dZiU

	diz	_	'dZis	// a.pren.diz

	do		do
	do	_	dU

	dó		'dO

	dô		'do

%	doa	_	du6

	dões	_	'do~Is

	dog		dog
	dog	_	'dOg

	doi		doI
	doi	_	doI

	dói		dOI

	dois		doIs

	dóis		dOIs

	dol		dow
	dol	_	'dOw

	dól		'dOw

	dom		do~
	dom	_	'do~

	don		do~
	don	_	'do~	// ron.don

	dor		do4
	dor	_	'do4

	dos		dos
	dos	_	dUs
	dos	^S	doz

	dou		doU
	dou	_	'doU

	dra		d4a
	dra	_	d46
%	dra		d46
	dra	^[mn]	d46

	drac		d4ak
	drac	_	'd4ak

	drá		'd4a

	drás		'd4as

	dral	_	'd4aw	// ca.te.dral

	dran		d4a~	// qua.dran.te
	dran	_	'd4a~

	drão	_	'd4a~U	// es.qua.drão

	drar		d4a4
	drar	_	'd4a4

	dras		d4as
	dras	_	d46s

	dráu		'd4aU	// hi.dráu.li.co

	dre		d4e
	dre	_	d4I

	drei		d4eI	// pe.drei.ro, ci.drei.ra
	drei	a_	d4EI	// An.drei.a

	dres		d4es
	dres	_	d4Is
	dres	^S	d4ez

	drez	_	'd4es	// xa.drez

	dri		d4i
	dri	_	'd4i

	drí		'd4i	// qua.drí.cu.lo

	dril	_	'd4iw	// qua.dril

	drim		d4i~
	drim	_	'd4i~

	drin		d4i~
	drin	_	'd4i~

	dris		d4is
	dris	_	'd4is
	dris	^S	d4iz

	dro		d4o
	dro	_	d4U

	dró		'd4O	// hi.dró.xi.do, hi.dró.li.se, xi.lin.dró

	drô		'd4o

	droi		droi
	droi	_	'droi
	droi	^d_	'drOi	// an.droi.de

	drom		d4o~
	drom	_	'd4o~U

	dron		d4o~
	dron	_	'd4o~

	dros		d4os
	dros	_	d4Us
	dros	^S	d4oz

	drós		'd4Os	// hi.drós.ta.to

	dru		d4u
	dru	_	'd4u

	drú		'd4u	// qua.drú.pe.de

	drui		d4uI
	drui	_	'd4uI

	du		du
	du	_	'du

	dú		'du

