$ paste ~/ista.a.txt ~/ista.b.txt | awk '{ print $1, $2, $4}'

cosmologista	kˌozmoloʒˈistɐ	kˌozmoloʒˈistɐ
craniologista	kɾˌɐniˌoloʒˈistɐ	kɾˌɐniˌoloʒˈistɐ
cravista	kɾˌavˈistɐ	kɾˌavˈistɐ
crediarista	kɾˌedʒiaɾˈistɐ	kɾˌedʒiaɾˈistɐ
criacionista	kɾˌiasjonˈistɐ	kɾˌiasjonˈistɐ
criminalista	kɾˌiminalˈistɐ	kɾˌiminalˈistɐ
criminologista	kɾˌiminˌoloʒˈistɐ	kɾˌiminˌoloʒˈistɐ
criptologista	kɾˌiptoloʒˈistɐ	kɾˌiptoloʒˈistɐ
crista	kɾˈistɐ	kɾˈistɐ
cristalogista	kɾˌistaloʒˈistɐ	kɾˌistaloʒˈistɐ
cristologista	kɾˌistoloʒˈistɐ	kɾˌistoloʒˈistɐ
criticista	kɾˌitʃisˈistɐ	kɾˌitʃisˈistɐ
cronista	kɾˌonˈistɐ	kɾˌonˈistɐ
cronologista	kɾˌonoloʒˈistɐ	kɾˌonoloʒˈistɐ
cronometrista	kɾˌonometɾˈistɐ	kɾˌonometɾˈistɐ
crustaceologista	kɾˌustasˌeoloʒˈistɐ	kɾˌustasˌeoloʒˈistɐ
cubista	kˌubˈistɐ	kˌubˈistɐ
culturista	kˌuwtuɾˈistɐ	kˌuwtuɾˈistɐ
cursista	kˌuɾsˈistɐ	kˌuɾsˈistɐ
czarista	kzˌaɾˈistɐ	kzˌaɾˈistɐ
darwinista	dˌaɾwinˈistɐ	darvinˈistɐ
datiloscopista	dˌatʃilˌoskopˈistɐ	dˌatʃilˌoskopˈistɐ
decadentista	dˌekadeɪntʃˈistɐ	dˌekadeɪntʃˈistɐ
deflacionista	dˌeflasjonˈistɐ	dˌeflasjonˈistɐ
demagogista	dˌemaɡoʒˈistɐ	dˌemaɡoʒˈistɐ
demonologista	dˌemonˌoloʒˈistɐ	dˌemonˌoloʒˈistɐ
dentista	dˌeɪntʃˈistɐ	dˌeɪntʃˈistɐ
deontologista	dˌeõntˌoloʒˈistɐ	dˌeõntˌoloʒˈistɐ
dermatologista	dˌeɾmatˌoloʒˈistɐ	dˌeɾmatˌoloʒˈistɐ
derrotista	dˌexotʃˈistɐ	dˌexotʃˈistɐ
desarranjista	dˌezaxɐ̃nʒˈistɐ	dˌezaxɐ̃nʒˈistɐ
descentralista	dˌeseɪntɾalˈistɐ	dˌeseɪntɾalˈistɐ
desenhista	dˌezeɲˈistɐ	dˌezeɲˈistɐ
desgovernista	dˌezɡoveɾnˈistɐ	dˌezɡoveɾnˈistɐ
desinflacionista	dˌezĩnflˌasjonˈistɐ	dˌezĩnflˌasjonˈistɐ
