Barracão	bˌaxakˈɐ̃ʊ̃
Barras	bˈaxæs
Barreira	bˌaxˈeɪɾæ
Barreiras	bˌaxˈeɪɾæs
Barreirinha	bˌaxeɪɾˈiɲæ
Barreirinhas	bˌaxeɪɾˈiɲæs
Barreiro	bˌaxˈeɪɾʊ
Barreiros	bˌaxˈeɪɾʊs
Barreto	bˌaxˈetʊ
Barretos	bˌaxˈetʊs
Barrinha	bˌaxˈiɲæ
Barro	bˈaxʊ
Barrolândia	bˌaxolˈɐ̃ŋdʒjæ
Barroquinha	bˌaxokˈiɲæ
Barros	bˈaxʊs
Barroso	bˌaxˈozʊ
Bartolomeu	bˌaɾətolomˈeʊ
Barueri	bˌaɾueɾˈi
Baruque	bˌaɾˈuky
Barão	baɾˈɐ̃ʊ̃
Barém	baɾˈeɪŋ
Bassano	bˌasˈɐ̃nʊ
Basse	bˈasy
Basseterre	bˌasetˈɛxy
Bassitt	basˈitʃ
Bastilha	bˌastʃˈiljæ
Bastos	bˈastʊs
Basílio	bˌazˈiljʊ
Basílios	bˌazˈiljʊs
Bataguassu	bˌataɡwasˈu
Bataiporã	bˌataɪpoɾˈɐ̃
Batalha	bˌatˈaljæ
Batatais	bˌatatˈaɪs
Batista	bˌatʃˈistæ
Batistas	bˌatʃˈistæs
Bator	batˈor
Baturité	bˌatuɾitˈɛ
Bauru	baʊɾˈu
Bayeux	bˌaɪeˈuks
Baía	bˌaˈiæ
Beatriz	bˌeatrˈis
Bebedouro	bˌebedˈowɾʊ
Beberibe	bˌebeɾˈiby
Begawan	bˌeɡawˈɐ̃ŋ
Beirute	bˌeɪɾˈutʃy
Bela	bˈɛlæ
Belarus	bˌelaɾˈus
Belas	bˈɛlæs
Belchior	bˌɛʊʃiˈor
Belford	bɛʊfˈoɾəd
Belgrado	bˌɛʊɡrˈadʊ
Belial	bˌeliˈaʊ
Belisário	bˌelizˈaɾjʊ
Belize	bˌelˈizy
Bello	bˈɛlʊ
Belmiro	bˌɛʊmˈiɾʊ
Belmonte	bˌɛʊmˈoŋtʃy
Belmopan	bˌɛʊmopˈɐ̃ŋ
Belo	bˈɛlʊ
Belos	bˈɛlʊs
Belterra	bˌɛʊtˈɛxæ
Beltrão	bɛʊtrˈɐ̃ʊ̃
Belzebu	bˌɛʊzebˈu
Belágua	bˌelˈaɡwæ
Belém	belˈeɪŋ
Benedita	bˌenedʒˈitæ
Beneditinos	bˌenedʒitʃˈinʊs
Benedito	bˌenedʒˈitʊ
Benelux	bˌenelˈuks
Benevides	bˌenevˈidʒys
Benin	benˈin
Benjamim	bˌeɪŋʒɐ̃mˈiŋ
Benjamin	bˌeɪŋʒɐ̃mˈin
Bentinho	bˌeɪŋtʃˈiɲʊ
Bento	bˈeɪŋtʊ
Bequimão	bˌekimˈɐ̃ʊ̃
Berenice	bˌeɾenˈisy
Berilo	bˌeɾˈilʊ
Bering	beɾˈiŋɡ
Berizal	bˌeɾizˈaʊ
Berlim	beɾəlˈiŋ
Berloque	bˌeɾəlˈɔky
Bermudas	bˌeɾəmˈudæs
Berna	bˈɛɾənæ
Bernardes	bˌeɾənˈaɾədʒys
Bernardino	bˌeɾənaɾədʒˈinʊ
Bernardo	bˌeɾənˈaɾədʊ
Berta	bˈɛɾətæ
Bertioga	bˌeɾətʃiˈɔɡæ
Bertolínia	bˌeɾətolˈinjæ
Bertópolis	bˌeɾətˈɔpolis
Beruri	bˌeɾuɾˈi
Betelgeuse	bˌetɛʊʒˈeʊzy
Betim	betʃˈiŋ
Betânia	bˌetˈɐ̃njæ
Bezerra	bˌezˈexæ
Bezerros	bˌezˈexʊs
Bias	bˈiæs
Bicaco	bˌikˈakʊ
Bicas	bˈikæs
Bichkek	biʃkˈek
Bielo	bˌiˈɛlʊ
Bielorrússia	bˌieloxˈusjæ
Biguaçu	bˌiɡwasˈu
Bilac	bilˈak
Bilbao	biʊbˈaʊ
Biquinhas	bˌikˈiɲæs
Birigui	bˌiɾiɡwˈi
Biritiba	bˌiɾitʃˈibæ
Biritinga	bˌiɾitʃˈiŋɡæ
Birmânia	bˌiɾəmˈɐ̃njæ
Bissau	bisˈaʊ
Bisâncio	bˌizˈɐ̃ŋsjʊ
Bituruna	bˌituɾˈunæ
Blumenau	blˌumenˈaʊ
Boa	bˈoæ
Boaventura	bˌoaveɪŋtˈuɾæ
Boca	bˈokæ
Bocaina	bˌokˈaɪnæ
Bocaiúva	bˌokaɪˈuvæ
Bodocó	bˌodokˈɔ
Bodoquena	bˌodokˈenæ
Bodó	bodˈɔ
Bofete	bˌofˈɛtʃy
Bogotá	bˌoɡotˈa
Boi	bˈoɪ
Bois	bˈoɪs
Boiteux	bˌoɪteˈuks
Boituva	bˌoɪtˈuvæ
Bolonha	bˌolˈoɲæ
