$ paste ~/mini.a.txt ~/mini.b.txt | awk '{ print $1, $2, $4}'

miniatura	mˌiniʲatˈuɾɐ	mˌiniʲˌatˈuɾɐ
ministradores	mˌinistɾadˈoɾɪs	mˌinistɾˌadˈoɾɪs
ministrados	mˌinistɾˈadʊs	mˌinistɾˈadʊs
ministrai	mˌinistɾˈaɪ	mˌinistɾˈaɪ
ministrais	mˌinistɾˈaɪs	mˌinistɾˈaɪs
ministral	mˌinistɾˈaʊ	mˌinistɾˈaʊ
ministram	mˌinˈistɾɐ̃ʊ̃	mˌinˈistɾɐ̃ʊ̃
ministramo	mˌinistɾˈɐ̃mʊ	mˌinistɾˈɐ̃mʊ
ministramos	mˌinistɾˈɐ̃mʊs	mˌinistɾˈɐ̃mʊs
ministrámos	mˌinistɾˈamʊs	mˌinistɾˈamʊs
ministrando	mˌinistɾˈɐ̃ndʊ	mˌinistɾˈɐ̃ndʊ
ministrante	mˌinistɾˈɐ̃ntʃɪ	mˌinistɾˈɐ̃ntʃɪ
ministrantes	mˌinistɾˈɐ̃ntʃɪs	mˌinistɾˈɐ̃ntʃɪs
ministrar	mˌinistɾˈaɾ	mˌinistɾˈaɾ
ministrara	mˌinistɾˈaɾɐ	mˌinistɾˈaɾɐ
ministrará	mˌinistɾaɾˈa	mˌinistɾaɾˈa
ministraram	mˌinistɾˈaɾɐ̃ʊ̃	mˌinistɾˈaɾɐ̃ʊ̃
ministráramos	mˌinistɾˈaɾɐmʊs	mˌinistɾˈaɾɐmʊs
ministrarão	mˌinistɾaɾˈɐ̃ʊ̃	mˌinistɾaɾˈɐ̃ʊ̃
ministraras	mˌinistɾˈaɾɐs	mˌinistɾˈaɾɐs
ministrarás	mˌinistɾaɾˈas	mˌinistɾaɾˈas
ministrardes	mˌinistɾˈaɾdʒɪs	mˌinistɾˈaɾdʒɪs
ministrarei	mˌinistɾaɾˈeɪ	mˌinistɾaɾˈeɪ
ministrareis	mˌinistɾaɾˈeɪs	mˌinistɾaɾˈeɪs
ministráreis	mˌinistɾˈaɾeɪs	mˌinistɾˈaɾeɪs
ministrarem	mˌinistɾˈaɾeɪm	mˌinistɾˈaɾeɪm
ministraremo	mˌinistɾaɾˈemʊ	mˌinistɾˌaɾˈemʊ
ministraremos	mˌinistɾaɾˈemʊs	mˌinistɾˌaɾˈemʊs
ministrares	mˌinistɾˈaɾɪs	mˌinistɾˈaɾɪs
ministraria	mˌinistɾaɾˈiʲɐ	mˌinistɾˌaɾˈiʲɐ
ministrariam	mˌinistɾaɾˈiʲɐ̃ʊ̃	mˌinistɾˌaɾˈiʲɐ̃ʊ̃
ministraríamos	mˌinistɾaɾˈiʲɐmʊs	mˌinistɾˌaɾˈiʲɐmʊs
ministrarias	mˌinistɾaɾˈiʲɐs	mˌinistɾˌaɾˈiʲɐs
ministraríeis	mˌinistɾaɾˈiʲeɪs	mˌinistɾˌaɾˈiʲeɪs
ministrarmo	mˌinistɾˈaɾmʊ	mˌinistɾˈaɾmʊ
ministrarmos	mˌinistɾˈaɾmʊs	mˌinistɾˈaɾmʊs
ministras	mˌinˈistɾɐs	mˌinˈistɾɐs
ministrasse	mˌinistɾˈasɪ	mˌinistɾˈasɪ
ministrásseis	mˌinistɾˈaseɪs	mˌinistɾˈaseɪs
ministrassem	mˌinistɾˈaseɪm	mˌinistɾˈaseɪm
ministrássemos	mˌinistɾˈasemʊs	mˌinistɾˈasemʊs
ministrasses	mˌinistɾˈasɪs	mˌinistɾˈasɪs
ministraste	mˌinistɾˈastʃɪ	mˌinistɾˈastʃɪ
ministrastes	mˌinistɾˈastʃɪs	mˌinistɾˈastʃɪs
ministrava	mˌinistɾˈavɐ	mˌinistɾˈavɐ
ministravam	mˌinistɾˈavɐ̃ʊ̃	mˌinistɾˈavɐ̃ʊ̃
ministrávamos	mˌinistɾˈavɐmʊs	mˌinistɾˈavɐmʊs
ministravas	mˌinistɾˈavɐs	mˌinistɾˈavɐs
ministráveis	mˌinistɾˈaveɪs	mˌinistɾˈaveɪs
ministre	mˌinˈistɾɪ	mˌinˈistɾɪ
ministrei	mˌinistɾˈeɪ	mˌinistɾˈeɪ
ministreis	mˌinistɾˈeɪs	mˌinistɾˈeɪs
ministrem	mˌinˈistɾeɪm	mˌinˈistɾeɪm
ministremo	mˌinistɾˈemʊ	mˌinistɾˈemʊ
ministremos	mˌinistɾˈemʊs	mˌinistɾˈemʊs
ministres	mˌinˈistɾɪs	mˌinˈistɾɪs
ministro	mˌinˈistɾʊ	mˌinˈistɾʊ
Ministro	mˌinˈistɾʊ	mˌinˈistɾʊ
ministros	mˌinˈistɾʊs	mˌinˈistɾʊs
ministrou	mˌinistɾˈoʊ	mˌinistɾˈoʊ

